标准分类,标准命名,算子分级,Package,PyTorch link
BLAS,addr,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addr.html#torch.addr>
Linalg,norm,P0,"torch, torch.Tensor, torch.linalg",<https://pytorch.org/docs/stable/generated/torch.norm.html?highlight=norm#torch.norm>
Linalg,cdist,P1,torch,<https://pytorch.org/docs/stable/generated/torch.cdist.html?highlight=cdist>
Linalg,cumsum,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cumsum.html?highlight=cumsum#torch.cumsum>
Linalg,einsum,P1,torch,<https://pytorch.org/docs/stable/generated/torch.einsum.html?highlight=einsum#torch.einsum>
Linalg,normalize,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.normalize.html?highlight=normalize#torch.nn.functional.normalize>
Linalg,diag,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.diag.html?highlight=diag#torch.diag>
Linalg,diagflat,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.diagflat.html?highlight=diagflat#torch.diagflat>
Linalg,cholesky,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cholesky.html?highlight=cholesky>
Linalg,triangular_solve,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.triangular_solve.html#torch.triangular_solve>
Linalg,diagonal,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.diagonal.html?highlight=diagonal#torch.diagonal>
Linalg,qr,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.qr.html?highlight=qr#torch.qr>
Linalg,tril,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.tril.html#torch.tril>
Linalg,triu,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.triu.html?highlight=triu#torch.triu>
Linalg,renorm,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.renorm.html#torch.renorm>
Linalg,vector_norm,P2,torch.linalg,<https://pytorch.org/docs/stable/generated/torch.linalg.vector_norm.html?highlight=matrix_norm>
Linalg,matrix_norm,P2,torch.linalg,<https://pytorch.org/docs/stable/generated/torch.linalg.matrix_norm.html?highlight=matrix_norm#torch.linalg.matrix_norm>
Linalg,cumprod,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cumprod.html?highlight=cumprod#torch.cumprod>
Linalg,pairwise_distance,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/1.11/generated/torch.nn.PairwiseDistance.html#torch.nn.PairwiseDistance>
Linalg,dist,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.dist.html?highlight=dist#torch.dist>
Linalg,cosine_similarity,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.cosine_similarity.html?highlight=cosine_similarity#torch.nn.functional.cosine_similarity>
Linalg,cross,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cross.html?highlight=cross#torch.cross>
Linalg,matrix_power,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.linalg.matrix_power.html#torch.linalg.matrix_power>
